PROMOTION_ID,MOBILE,MESSAGE_ID,MESSAGE
01HR928Q4VMF1M4SHF2TBWT6C6,98503429366,01HR928Q4WDGFYRTG4C8D95MER,Hello from Kafka 
01HR928Q4VMF1M4SHF2TBWT6C6,98586375378,01HR928Q4WAWHRDZ148MJPW6NP,Hello from Kafka 
01HR928Q4VMF1M4SHF2TBWT6C6,98456550402,01HR928Q4W98RSZKSS1SFKR28N,Hello from Kafka 
01HR928Q4VMF1M4SHF2TBWT6C6,98627671030,01HR928Q4W87D2VZHV0F3WRD2P,Hello from Kafka 
01HR928Q4VMF1M4SHF2TBWT6C6,98478084032,01HR928Q4WVW7C87JCXDHY392K,Hello from Kafka 
01HR928Q4VMF1M4SHF2TBWT6C6,98804920600,01HR928Q4WXFQHP2E80R72NPDA,Hello from Kafka 
01HR928Q4VMF1M4SHF2TBWT6C6,98524539062,01HR928Q4WZSR5CNECAX2P8XNP,Hello from Kafka 
01HR928Q4VMF1M4SHF2TBWT6C6,98818047790,01HR928Q4WXD1ABBGY0F6F173F,Hello from Kafka 
01HR928Q4VMF1M4SHF2TBWT6C6,98233858491,01HR928Q4WJ4N9ZS1J1020ZDGH,Hello from Kafka 
01HR928Q4VMF1M4SHF2TBWT6C6,98249926230,01HR928Q4W3NNFFV8YECTDMNM0,Hello from Kafka 
01HR928Q4VMF1M4SHF2TBWT6C6,98831559404,01HR928Q4XFPB4VJC2MC0N3P8J,Hello from Kafka 
01HR928Q4VMF1M4SHF2TBWT6C6,98655367727,01HR928Q4XX6ZGZ2EGH6VBDDP2,Hello from Kafka 
01HR928Q4VMF1M4SHF2TBWT6C6,98367903328,01HR928Q4XHCDFXQSMK7HFTV4A,Hello from Kafka 
01HR928Q4VMF1M4SHF2TBWT6C6,98864532891,01HR928Q4XQNYPERKK6B6A6H40,Hello from Kafka 
01HR928Q4VMF1M4SHF2TBWT6C6,98874744732,01HR928Q4XP0T3P67338BPF0J3,Hello from Kafka 
01HR928Q4VMF1M4SHF2TBWT6C6,98108404329,01HR928Q4XKJ0NWTBHBZYJ5PFT,Hello from Kafka 
01HR928Q4VMF1M4SHF2TBWT6C6,98605459104,01HR928Q4YH0FM25RS39W231MD,Hello from Kafka 
01HR928Q4VMF1M4SHF2TBWT6C6,98217153490,01HR928Q4YRA108YXBV443PJ19,Hello from Kafka 
01HR928Q4VMF1M4SHF2TBWT6C6,98390840075,01HR928Q4YW09ECEN7ZNV6TBB5,Hello from Kafka 
01HR928Q4VMF1M4SHF2TBWT6C6,98910737219,01HR928Q4YRWNE1VP1DNCJKENV,Hello from Kafka 
01HR928Q4VMF1M4SHF2TBWT6C6,98144988340,01HR928Q4YB1XY1RECFFS369T2,Hello from Kafka 
01HR928Q4VMF1M4SHF2TBWT6C6,98931911912,01HR928Q4Y68EFN2PPHJJBW8QQ,Hello from Kafka 
01HR928Q4VMF1M4SHF2TBWT6C6,98796723548,01HR928Q4Y27ANFPHREBBW9J9W,Hello from Kafka 
01HR928Q4VMF1M4SHF2TBWT6C6,98589853402,01HR928Q4Y0B8XK95TJFQQ82HB,Hello from Kafka 
